																																						
																																						
																																						
																																						
																							Date: 					"Tue, Apr 08, 2014"										
								Peak Hour														Count Period: 						4:00 PM				to	6:00 PM					
																							Peak Hour: 					5:00 PM				to	6:00 PM					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																					HV %:			PHF														
																			EB		4.9%			0.85														
																			WB		6.3%			0.86														
																			NB		-			-														
																			SB		4.1%			0.91														
																			TOTAL		5.1%			0.94														
Two-Hour Count Summaries																																						
Interval         Start					Mission St							Mission St							4th St							4th St							15-min         Total			Rolling One Hour		
					Eastbound							Westbound							Northbound							Southbound												
					LT		TH			RT		LT		TH			RT		LT		TH			RT		LT		TH			RT							
	4:00 PM				0		110			37		8		113			0		0		0			0		11		96			29		404					
	4:15 PM				0		136			45		5		121			0		0		0			0		21		120			18		466					
	4:30 PM				0		132			35		5		152			0		0		0			0		13		105			26		468					
	4:45 PM				0		148			56		4		140			0		0		0			0		19		98			23		488			"1,826"		
	5:00 PM				0		135			39		6		139			0		0		0			0		20		118			21		478			"1,900"		
	5:15 PM				0		97			37		5		147			0		0		0			0		19		124			33		462			"1,896"		
	5:30 PM				0		140			58		4		170			0		0		0			0		22		99			33		526			"1,954"		
	5:45 PM				0		122			49		5		188			0		0		0			0		19		109			24		516			"1,982"		
Count Total					0		"1,020"			356		42		"1,170"			0		0		0			0		144		869			207		"3,808"					
Peak Hour			All		0		494			183		20		644			0		0		0			0		80		450			111		"1,982"					
			HV		0		28			5		3		39			0		0		0			0		1		20			5		101					
			HV%		-		6%			3%		15%		6%			-		-		-			-		1%		4%			5%		5%					
Note: Two-hour count summary volumes include heavy vehicles but exclude bicycles in overall count.																																						
																																						
Interval         Start					Heavy Vehicle Totals										Bicycles										Pedestrians (Crossing Leg)													
					EB		WB		NB		SB		Total		EB		WB		NB		SB		Total		East			West			North			South			Total	
	4:00 PM				12		13		0		8		33		3		6		0		7		16		477			242			221			215			"1,155"	
	4:15 PM				9		11		0		7		27		0		6		0		7		13		695			294			245			222			"1,456"	
	4:30 PM				10		14		0		8		32		0		7		0		6		13		626			264			207			413			"1,510"	
	4:45 PM				17		11		0		3		31		2		14		0		5		21		489			245			202			208			"1,144"	
	5:00 PM				8		8		0		9		25		3		10		0		6		19		438			235			264			230			"1,167"	
	5:15 PM				10		12		0		8		30		3		15		0		9		27		409			287			306			225			"1,227"	
	5:30 PM				11		11		0		5		27		3		14		0		7		24		323			336			266			293			"1,218"	
	5:45 PM				4		11		0		4		19		10		13		0		3		26		443			268			277			295			"1,283"	
Count Total					81		91		0		52		224		24		85		0		50		159		"3,900"			"2,171"			"1,988"			"2,101"			"10,160"	
Peak Hr					33		42		0		26		101		19		52		0		25		96		"1,613"		33	"1,126"		33	"1,113"		33	"1,043"		33	"4,895"	
																																						
																																						
Two-Hour Count Summaries - Heavy Vehicles																																						
Interval         Start					Mission St							Mission St							4th St							4th St							15-min         Total			Rolling One Hour		
					Eastbound							Westbound							Northbound							Southbound												
					LT		TH			RT		LT		TH			RT		LT		TH			RT		LT		TH			RT							
	4:00 PM				0		11			1		1		12			0		0		0			0		0		6			2		33					
	4:15 PM				0		8			1		1		10			0		0		0			0		0		6			1		27					
	4:30 PM				0		9			1		0		14			0		0		0			0		0		5			3		32					
	4:45 PM				0		13			4		1		10			0		0		0			0		0		3			0		31			123		
	5:00 PM				0		6			2		2		6			0		0		0			0		1		5			3		25			115		
	5:15 PM				0		9			1		0		12			0		0		0			0		0		7			1		30			118		
	5:30 PM				0		9			2		0		11			0		0		0			0		0		4			1		27			113		
	5:45 PM				0		4			0		1		10			0		0		0			0		0		4			0		19			101		
Count Total					0		69			12		6		85			0		0		0			0		1		40			11		224					
Peak Hour					0		28			5		3		39			0		0		0			0		1		20			5		101					
																																						
Two-Hour Count Summaries - Bikes																																						
Interval         Start					Mission St							Mission St							4th St							4th St							15-min         Total			Rolling One Hour		
					Eastbound							Westbound							Northbound							Southbound												
					LT		TH			RT		LT		TH			RT		LT		TH			RT		LT		TH			RT							
	4:00 PM				0		3			0		0		6			0		0		0			0		0		7			0		16					
	4:15 PM				0		0			0		0		6			0		0		0			0		1		6			0		13					
	4:30 PM				0		0			0		0		7			0		0		0			0		0		6			0		13					
	4:45 PM				0		2			0		1		13			0		0		0			0		0		4			1		21			63		
	5:00 PM				0		3			0		1		9			0		0		0			0		0		5			1		19			66		
	5:15 PM				0		3			0		1		14			0		0		0			0		0		9			0		27			80		
	5:30 PM				0		3			0		0		14			0		0		0			0		0		6			1		24			91		
	5:45 PM				0		10			0		1		12			0		0		0			0		0		3			0		26			96		
Count Total					0		24			0		4		81			0		0		0			0		1		46			3		159					
Peak Hour					0		19			0		3		49			0		0		0			0		0		23			2		96					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
