http://www.sfcta.org/sites/default/files/content/Planning/VanNess_BRT_EIR/Van%20Ness%20BRT%20Public%20Draft%20EIS-EIRBOOKMARKED.pdf

Van Ness and Union,x,17:00-18:00,440
Van Ness and Clay,x,17:00-18:00,950
Van Ness and Broadway,x,17:00-18:00,280
Van Ness and Sacramento,x,17:00-18:00,640
Van Ness and California,x,17:00-18:00,920
Van Ness and Pine,x,17:00-18:00,560
Van Ness and Bush,x,17:00-18:00,560
Van Ness and Sutter,x,17:00-18:00,580
Van Ness and Post,x,17:00-18:00,600
Van Ness and Geary,x,17:00-18:00,1140
Van Ness and O'Farrell,x,17:00-18:00,1020
Van Ness and Ellis,x,17:00-18:00,1120
Van Ness and Eddy,x,17:00-18:00,1120
Van Ness and Turk,x,17:00-18:00,1120
Van Ness and Golden Gate,x,17:00-18:00,1160
Van Ness and McAllister,x,17:00-18:00,1200
Van Ness and Grove,x,17:00-18:00,1870
Van Ness and Hayes,x,17:00-18:00,670
Van Ness and Fell,x,17:00-18:00,1350
Van Ness and Oak,x,17:00-18:00,870
Van Ness and Market,x,17:00-18:00,2280
South Van Ness and Mission,x,17:00-18:00,880
Mission and Duboce,x,17:00-18:00,1060

http://sf.streetsblog.org/wp-content/upload1/ChinatownPedestrianNeedsAssessment_Final.pdf

Broadway and Grant,x,10:00-12:00,574 + 8
Columbus and Broadway,x,10:00-12:00,897 + 12 + 827 + 17
Columbus and Jackson,x,10:00-12:00,783 + 17
Columbus and Stockton,x,10:00-12:00,2093 + 78
Columbus and Vallejo,x,10:00-12:00,956 + 5
Grant and Jackson,x,10:00-12:00,2775 + 53
Kearny and Broadway,x,10:00-12:00,582 + 14
Kearny and Clay,x,10:00-12:00,2426 + 32
Kearny and Jackson,x,10:00-12:00,1322 + 21
Mason and Washington,x,10:00-12:00,431 + 41
Montgomery and Clay,x,10:00-12:00,2018 + 6
Powell and Broadway,x,10:00-12:00,1315 + 35
Powell and Pacific,x,10:00-12:00,1287 + 111
Powell and Washington,x,10:00-12:00,1020 + 78
Sacramento and Kearny,x,10:00-12:00,1605 + 27
Stockton and Broadway,x,10:00-12:00,3950 + 75 + 3671 + 79
Stockton and Clay,x,10:00-12:00,3810 + 108
Stockton and Jackson,x,10:00-12:00,6957 + 133
Stockton and Pacific,x,10:00-12:00,7715 + 169
Stockton and Sacramento,x,10:00-12:00,1530 + 13
Stockton and Vallejo,x,10:00-12:00,3437 + 63
Stockton and Washington,x,10:00-12:00,3908 + 147

Broadway and Grant,x,15:00-17:00,712 + 18
Columbus and Broadway,x,15:00-17:00,1281 + 69 + 1275 + 24
Columbus and Jackson,x,15:00-17:00,827 + 12
Columbus and Stockton,x,15:00-17:00,3025 + 83
Columbus and Vallejo,x,15:00-17:00,1115 + 65
Grant and Jackson,x,15:00-17:00,2524 + 37
Kearny and Broadway,x,15:00-17:00,957 + 115
Kearny and Clay,x,15:00-17:00,2355 + 82
Kearny and Jackson,x,15:00-17:00,1374 + 63
Mason and Washington,x,15:00-17:00,514 + 171
Montgomery and Clay,x,15:00-17:00,1882 + 15
Powell and Broadway,x,15:00-17:00,1427 + 113
Powell and Pacific,x,15:00-17:00,1468 + 68
Powell and Washington,x,15:00-17:00,1297 + 143
Sacramento and Kearny,x,15:00-17:00,1672 + 33
Stockton and Broadway,x,15:00-17:00,2892 + 113 + 4547 + 173
Stockton and Clay,x,15:00-17:00,3684 + 158
Stockton and Jackson,x,15:00-17:00,6540 + 255
Stockton and Pacific,x,15:00-17:00,6966 + 187
Stockton and Sacramento,x,15:00-17:00,1543 + 69
Stockton and Vallejo,x,15:00-17:00,3147 + 36
Stockton and Washington,x,15:00-17:00,4127 + 242

http://archives.sfmta.com/cms/rhomepd/documents/2009PedestrianCountReport4_16_10.pdf

3rd and Howard,9/8/2009,17:00-18:00,1387,37.785013,-122.400495
4th and Market,9/17/2009,17:00-18:00,10567,37.785725,-122.405924
6th and Market,9/18/2009,16:30-17:30,3118,37.782223,-122.410376
6th and Mission,9/16/2009,16:15-17:15,1156,37.780985,-122.408724
7th and Folsom,9/17/2009,08:00-09:00,820,37.776762,-122.407866
8th and Market,9/17/2009,17:00-18:00,3524,37.778721,-122.414765
9th and Irving,9/15/2009,08:00-09:00,682,37.764031,-122.466343
16th and Mission,9/15/2009,08:00-09:00,2074,37.765057,-122.419678
18th and Castro,9/10/2009,17:00-18:00,844,37.760884,-122.435031
19th Ave and Taraval,9/9/2009,17:00-18:00,412,37.743044,-122.475640
24th and Castro,9/15/2009,16:15-17:15,683,37.751307,-122.434109
25th Ave and Geary,9/9/2009,07:45-08:45,473,37.780110,-122.484738
34th Ave and Ulloa,9/9/2009,07:15-08:15,24,37.740482,-122.491658
Bayshore and Cortland,9/16/2009,07:30-08:30,70,37.739573,-122.406970
Beach and Hyde,9/16/2009,16:15-17:15,2226,37.806653,-122.420569
Chestnut and Steiner,9/15/2009,17:00-18:00,745,37.800609,-122.437896
Divisadero and Geary,9/10/2009,07:00-08:00,993,37.783313,-122.439494
Embarcadero and Washington,9/10/2009,17:00-18:00,570,37.796727,-122.395426
Geary and Laguna,9/16/2009,07:30-08:30,294,37.78497,-122.42799
Geneva and Ocean,9/10/2009,16:00-17:00,414,37.722953,-122.451905
Golden Gate and Jones,9/17/2009,08:00-09:00,650,37.78207,-122.41224
Ingalls and Palou,9/17/2009,16:00-17:00,33,37.72974,-122.38346
JFK and Stanyan,9/17/2009,17:00-18:00,438,37.771437,-122.454024
Mission and Silver,9/17/0209,16:15-17:15,730,37.728730,-122.431306
Randall and San Jose,9/16/2009,08:00-09:00,429,37.739870,-122.424192

http://www.sfcta.org/sites/default/files/content/Planning/ColumbusAvenue/FinalReport/SFCTA%20Columbus%20Ave%20Final%20Report_lo_res.pdf

Broadway and Grant,6/2008,17:00-18:00,3476,37.797830,-122.407016
Stockton and Green,6/2008,17:00-18:00,4176,37.799500,-122.409033
Union and Powell,6/2008,17:00-18:00,1980,37.800254,-122.410846
Filbert and Powell,6/2008,17:00-18:00,1966,37.801166,-122.411023

http://urbanecology.org/entrips/documents/Existing%20Conditions%20Report.pdf

3rd and Folsom,2010,08:00-09:00,929,37.783785,-122.398953
4th and Folsom,2010,08:00-09:00,737,37.782038,-122.401174
6th and Folsom,2010,08:00-09:00,308,37.778519,-122.405637
7th and Folsom,2010,08:00-09:00,685,37.776738,-122.407858
8th and Folsom,2010,08:00-09:00,328,37.774991,-122.410100
9th and Folsom,2010,08:00-09:00,200,37.773779,-122.411645
10th and Folsom,2010,08:00-09:00,161,37.772812,-122.412836
13th and Folsom,2010,08:00-09:00,92,37.769564,-122.415604
7th and Harrison,2010,08:00-09:00,350,37.775509,-122.406324
3rd and Bryant,2010,08:00-09:00,568,37.781317,-122.395884
4th and Bryant,2010,08:00-09:00,515,37.779554,-122.398105
5th and Bryant,2010,08:00-09:00,385,37.777807,-122.400326
6th and Bryant,2010,08:00-09:00,235,37.776043,-122.402558
7th and Bryant,2010,08:00-09:00,216,37.774296,-122.404779
8th and Bryant,2010,08:00-09:00,221,37.772532,-122.407010
9th and Bryant,2010,08:00-09:00,172,37.771311,-122.408577
10th and Bryant,2010,08:00-09:00,200,37.770336,-122.409789
11th and Bryant and Division,2010,08:00-09:00,143,37.769403,-122.410926
16th and Mission,2010,08:00-09:00,400,37.765069,-122.419692
16th and South Van Ness,2010,08:00-09:00,350,37.765179,-122.417525
16th and Folsom,2010,08:00-09:00,250,37.765323,-122.415336
3rd and Mission,2010,17:00-18:00,2118,37.786252,-122.402064
